PT,total_stems,total_BA,live_stems,live_BA,Richness,dead_BA,Plot_tot_vol_usty,tree_gras_unk
99,1,10,1,10,1,0,0,T
100,0,0,0,0,0,0,0,G
101,5,50,5,50,2,0,0.0015875253,U
102,16,160,3,30,4,130,0,T
103,0,0,0,0,0,0,0,T
104,8,80,8,80,4,0,0,T
105,7,70,6,60,2,10,0.0015985837,T
106,7,70,7,70,4,0,0.0008001244,T
107,7,70,7,70,4,0,0,T
108,8,80,7,70,2,10,0.0002734285,T
109,9,90,9,90,3,0,0.0009846772,T
112,0,0,0,0,0,0,0,G
113,0,0,0,0,0,0,0,G
114,0,0,0,0,0,0,0,G
115,0,0,0,0,0,0,0,G
116,0,0,0,0,0,0,0,G
118,4,40,4,40,2,0,0,TG
119,3,30,3,30,2,0,,TG
120,6,60,6,60,3,0,0.0003404701,T
121,0,0,0,0,0,0,0,G
122,12,120,10,100,4,20,,T
123,1,10,1,10,1,0,0,G
124,0,0,0,0,0,0,0,G
125,4,40,2,20,3,20,0,T
126,14,140,14,140,2,0,0,T
127,5,50,4,40,2,10,0,T
128,6,60,0,0,4,60,0,T
129,0,0,0,0,0,0,0,G
130,7,70,7,70,3,0,0,T
131,0,0,0,0,0,0,0,G
132,15,150,12,120,4,30,0,T
133,11,110,10,100,5,10,0,G
134,2,20,2,20,1,0,0,TG
135,8,80,8,80,4,0,0.0025612698,T
136,12,120,11,110,5,10,0,T
137,7,70,7,70,4,0,0.0003078761,T
138,8,80,5,50,5,30,,T
139,9,90,5,50,4,40,0,T
140,12,120,10,100,6,20,,T
141,0,0,0,0,0,0,0,G
142,10,100,8,80,4,20,0,U
143,0,0,0,0,0,0,0,G
144,8,80,6,60,2,20,0,T
145,8,80,8,80,3,0,0,T
146,1,10,1,10,1,0,0,G
147,13,130,13,130,5,0,,T
148,9,90,8,80,5,10,0.0001639911,T
150,10,100,6,60,3,40,0,T
151,3,30,3,30,1,0,0,TG
152,8,80,7,70,8,10,0.0007528827,T
153,1,10,1,10,1,0,0,T
154,7,70,6,60,2,10,0,TG
155,8,80,5,50,4,30,0,T
156,8,80,8,80,4,0,0,T
157,6,60,5,50,2,10,0,T
158,11,110,7,70,5,40,0,T
159,0,0,0,0,0,0,0,G
160,4,40,3,30,3,10,0.0007086176,T
161,9,90,9,90,4,0,0.0004448809,T
162,6,60,4,40,3,20,0,T
163,16,160,11,110,2,50,0,T
165,8,80,7,70,5,10,0.0035625661,T
166,5,50,4,40,3,10,0.0028579697,T
167,0,0,0,0,0,0,0,G
168,9,90,6,60,2,30,0,T
169,4,40,4,40,3,0,0.0023816414,T
170,13,130,11,110,4,20,0,T
171,6,60,5,50,4,10,0,T
172,9,90,4,40,5,50,0.0003200419,T
173,7,70,7,70,3,0,0,T
174,0,0,0,0,0,0,0,G
175,6,60,4,40,1,20,0,TG
176,3,30,3,30,2,0,0,T
177,3,30,2,20,2,10,0,T
178,9,90,8,80,5,10,0,T
179,0,0,0,0,0,0,0,G
180,3,30,2,20,3,10,0.0025956231,T
181,17,170,12,120,5,50,0,T
182,0,0,0,0,0,0,0,G
183,5,50,4,40,4,10,0,TG
185,0,0,0,0,0,0,0,G
186,7,70,7,70,2,0,,T
187,0,0,0,0,0,0,0,G
188,9,90,7,70,4,20,0,T
189,9,90,9,90,6,0,0,T
190,6,60,5,50,4,10,0.0023703002,T
191,5,50,4,40,3,10,0,T
192,0,0,0,0,0,0,0.0011303372,G
193,0,0,0,0,0,0,0,G
194,0,0,0,0,0,0,0,G
195,10,100,10,100,3,0,0.0016013954,T
196,7,70,6,60,6,10,0.0090503001,T
197,7,70,7,70,3,0,0,T
198,6,60,6,60,1,0,0,T
200,9,90,9,90,6,0,0,T
201,0,0,0,0,0,0,0,G
202,9,90,8,80,5,10,0.0039556736,T
203,0,0,0,0,0,0,0,G
204,7,70,6,60,5,10,0.0018493142,T
205,4,40,4,40,1,0,0.0003549057,T
206,4,40,4,40,3,0,0,TG
207,9,90,8,80,3,10,0,T
208,8,80,7,70,3,10,0,T
209,4,40,4,40,4,0,0,T
210,6,60,6,60,3,0,0.0026915752,T
211,1,10,0,0,1,10,0,TG
212,0,0,0,0,0,0,0,G
213,5,50,5,50,3,0,0,T
214,4,40,4,40,2,0,0,T
215,10,100,8,80,5,20,0,T
216,11,110,11,110,3,0,0,T
218,6,60,5,50,2,10,0,T
219,8,80,8,80,4,0,0.0003136566,T
220,13,130,12,120,5,10,0.0004580442,T
221,6,60,6,60,3,0,0,T
222,10,100,8,80,3,20,0,T
223,10,100,7,70,3,30,9.7782247272,T
224,9,90,9,90,5,0,0,T
225,0,0,0,0,0,0,0,G
226,10,100,6,60,6,40,0,T
227,6,60,6,60,2,0,0,T
228,14,140,11,110,4,30,0,T
229,0,0,0,0,0,0,0,G
231,0,0,0,0,0,0,0,G
232,7,70,7,70,4,0,0.0003867929,T
233,9,90,6,60,5,30,,T
234,8,80,7,70,3,10,0,T
235,8,80,7,70,6,10,,T
236,3,30,3,30,1,0,0.0012375048,G
237,2,20,2,20,1,0,0,T
238,10,100,9,90,5,10,0,T
239,14,140,13,130,5,10,0,T
240,16,160,13,130,7,30,0,T
241,11,110,8,80,3,30,0,T
242,0,0,0,0,0,0,0,G
243,9,90,9,90,5,0,0,T
244,0,0,0,0,0,0,0,G
245,7,70,5,50,3,20,0,T
246,5,50,4,40,2,10,0,T
247,0,0,0,0,0,0,0,G
248,7,70,6,60,4,10,0,T
250,3,30,3,30,2,0,0,T
251,8,80,8,80,6,0,0,T
252,13,130,11,110,5,20,0,T
253,5,50,1,10,2,40,0,T
254,10,100,8,80,3,20,0,T
255,11,110,10,100,4,10,0,T
256,6,60,6,60,3,0,0,T
258,4,40,3,30,2,10,0,T
259,5,50,5,50,3,0,0,T
260,5,50,5,50,2,0,0.0003382003,T
261,13,130,12,120,4,10,0,T
262,9,90,8,80,3,10,0,T
263,7,70,6,60,5,10,0,T
264,11,110,11,110,2,0,0,T
265,8,80,7,70,1,10,0,T
266,0,0,0,0,0,0,0,G
267,12,120,9,90,5,30,0.0007609487,T
268,9,90,9,90,3,0,0.0003382003,T
269,13,130,13,130,2,0,0,T
270,0,0,0,0,0,0,0,T
271,5,50,3,30,2,20,0.0006451261,T
272,10,100,10,100,4,0,0,T
273,5,50,5,50,2,0,0,T
274,0,0,0,0,0,0,0,G
275,13,130,12,120,3,10,0,T
276,10,100,9,90,5,10,0,T
278,7,70,5,50,3,20,0.0027633999,T
279,8,80,5,50,4,30,0,T
280,8,80,6,60,3,20,0,T
281,7,70,7,70,5,0,0,T
282,7,70,5,50,3,20,0,T
283,12,120,11,110,6,10,0,T
284,4,40,3,30,3,10,0,TG
285,7,70,5,50,3,20,0.0035625661,T
286,0,0,0,0,0,0,0.0013407375,G
287,8,80,7,70,5,10,0.0047587275,T
288,12,120,11,110,4,10,0,T
289,0,0,0,0,0,0,0,G
290,7,70,7,70,2,0,0,T
291,12,120,12,120,1,0,0,T
292,5,50,5,50,2,0,0.0045410936,T
293,12,120,9,90,6,30,0,T
294,8,80,6,60,7,20,0,T
295,3,30,3,30,2,0,0,T
296,6,60,5,50,4,10,0,G
297,9,90,6,60,6,30,0,T
298,8,80,8,80,4,0,,T
299,9,90,9,90,3,0,,T
